Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDS46,2916.14390504,OUT027
DRD24,2053.24564496,OUT045
FDV45,3060.19150257,OUT017
FDL26,2476.5745777,OUT045
FDA56,2021.45091923,OUT018
FDN27,1953.95905419,OUT046
FDM20,3915.9303112,OUT049
FDO16,1406.36774017,OUT017
FDL03,3060.19150257,OUT035
FDE58,1930.7784646,OUT046
FDI02,2894.3964223,OUT027
NCC55,129.84813518,OUT019
FDR03,3291.74627902,OUT018
FDB14,1522.14914427,OUT017
FDR45,3904.39360386,OUT013
NCN07,2043.50865416,OUT017
FDM51,253.386351445,OUT019
FDT52,5873.87296054,OUT027
FDL26,2476.5745777,OUT046
NCZ42,3878.86732718,OUT046
DRI47,365.306535423,OUT019
FDW40,2053.24564496,OUT013
FDN34,2735.37849197,OUT046
FDS01,2885.48146721,OUT035
NCG55,1926.27354503,OUT045
FDC11,1457.05348112,OUT035
FDX35,3589.82038337,OUT018
NCB06,2528.17073104,OUT046
FDR09,572.22617416,OUT019
FDC53,1526.55715142,OUT017
FDY45,4018.53031719,OUT013
FDA22,387.629705401,OUT010
FDE02,1526.55715142,OUT035
FDW21,1546.30164418,OUT045
FDV34,1138.8538022,OUT046
FDS59,1603.62040275,OUT049
NCW17,2032.54282264,OUT017
NCK54,1930.7784646,OUT046
FDG17,571.438110477,OUT019
FDG35,2840.31636221,OUT017
FDD08,129.84813518,OUT010
NCO07,3691.37643536,OUT017
FDJ10,274.90598019,OUT010
FDW36,1578.36134331,OUT017
FDW21,240.988168963,OUT010
FDY19,1942.25204107,OUT017
DRE03,775.094027383,OUT013
NCC55,665.407835501,OUT049
FDH52,131.108704994,OUT010
FDO09,4070.09111715,OUT017
FDU43,3898.11105578,OUT045
FDX09,418.295284496,OUT010
FDH40,207.441177375,OUT019
FDW58,1578.36134331,OUT017
FDC47,3792.26338474,OUT017
NCR41,1526.55715142,OUT035
DRG49,3898.95294197,OUT035
FDC52,4050.79267382,OUT027
FDY13,1151.07899628,OUT046
FDY35,707.426026979,OUT013
FDI35,3035.67311892,OUT017
NCU18,2053.24564496,OUT049
FDY33,2528.17073104,OUT018
FDC15,4208.15742738,OUT027
FDU01,3060.19150257,OUT049
NCU42,2735.37849197,OUT046
NCV29,2875.17722738,OUT018
NCY30,3060.19150257,OUT017
FDQ46,1690.39137449,OUT049
FDG58,4097.53799222,OUT027
FDK33,3701.06782026,OUT017
NCD07,1926.27354503,OUT045
NCX29,4042.02758307,OUT027
NCT42,2461.39834212,OUT013
DRN59,727.594458292,OUT035
FDI44,1335.0513332,OUT035
FDA45,2875.17722738,OUT049
FDP31,1050.09796293,OUT045
FDY01,1926.27354503,OUT046
FDT09,2043.50865416,OUT018
DRH03,2790.95304999,OUT027
FDA36,3060.19150257,OUT018
NCF31,2476.5745777,OUT017
FDG14,2461.39834212,OUT049
FDG28,5873.87296054,OUT027
FDU14,4021.37276945,OUT049
FDY47,285.135711478,OUT019
FDI56,1491.17538774,OUT049
DRD01,1001.81384857,OUT013
FDM22,968.255673392,OUT046
FDH33,704.232939838,OUT013
DRZ24,1953.95905419,OUT013
NCQ38,1578.36134331,OUT046
FDO16,2371.8021022,OUT027
FDU07,4050.79267382,OUT027
NCB07,3060.19150257,OUT013
FDU48,2043.50865416,OUT045
NCM43,2568.78694867,OUT045
FDR31,366.023444325,OUT010
DRK49,657.492589055,OUT018
NCI30,572.912508866,OUT010
DRD60,3017.73958825,OUT017
NCG19,3833.73836758,OUT046
FDH12,1578.36134331,OUT035
FDM32,1512.00885681,OUT035
FDM27,2486.75846462,OUT035
NCU53,4262.71405786,OUT027
NCQ18,1531.14800145,OUT046
FDS10,2944.94491286,OUT013
FDB33,4208.15742738,OUT027
FDI12,1523.88220963,OUT013
NCW42,3737.02996432,OUT013
NCC06,2032.54282264,OUT018
FDW02,2027.49101247,OUT017
NCD43,1578.36134331,OUT017
FDM57,1419.7827204,OUT018
FDA58,3897.95525749,OUT017
FDK56,3060.19150257,OUT046
FDP52,3806.68262935,OUT045
FDW20,2021.45091923,OUT018
FDS52,1541.53938052,OUT049
NCT29,2003.69956997,OUT018
NCL54,2870.37938996,OUT013
FDC05,3069.04475818,OUT045
FDF34,3069.04475818,OUT035
FDP03,3007.38304769,OUT027
FDD32,196.371860102,OUT010
FDZ10,2032.54282264,OUT045
FDZ40,916.631631879,OUT035
FDD51,659.342037228,OUT018
NCY30,423.443281243,OUT019
FDP58,3726.43511116,OUT017
FDV49,4069.78872992,OUT017
FDY24,129.84813518,OUT019
NCO55,1583.13459122,OUT017
FDR13,1930.7784646,OUT017
FDS51,995.415323058,OUT017
FDP26,1578.36134331,OUT045
NCB54,3034.8657077,OUT027
FDF32,3069.04475818,OUT017
FDN31,3060.19150257,OUT018
DRM48,651.964668989,OUT017
FDN20,2729.41639231,OUT049
DRL01,3797.90029048,OUT046
FDV56,1583.13459122,OUT049
DRH13,2859.05713179,OUT027
FDA03,2461.39834212,OUT017
FDF47,5873.87296054,OUT027
FDX32,2461.39834212,OUT046
FDX57,1526.55715142,OUT049
NCA30,3060.19150257,OUT045
FDO49,775.094027383,OUT013
FDL04,253.386351445,OUT019
DRM48,653.847371068,OUT035
FDR16,3681.40373426,OUT013
NCC19,3060.19150257,OUT018
NCE42,3876.81857274,OUT045
FDY24,919.38259471,OUT017
FDH19,2840.31636221,OUT049
FDJ46,2840.31636221,OUT013
FDN45,572.22617416,OUT010
FDY08,2047.92016795,OUT035
FDZ37,1457.05348112,OUT035
NCT30,736.751054676,OUT045
DRY23,657.492589055,OUT018
NCZ30,2021.45091923,OUT018
FDC44,1902.92277459,OUT018
FDB45,1578.36134331,OUT035
FDY04,2550.27402874,OUT013
FDM27,2528.17073104,OUT046
FDZ43,3910.16299107,OUT017
FDT39,367.104658887,OUT019
NCC06,281.261793384,OUT019
FDL15,4097.53799222,OUT027
FDL57,4045.05520881,OUT017
FDU08,1531.14800145,OUT046
FDK40,4091.48002611,OUT017
FDQ12,572.359935713,OUT010
FDS48,2461.39834212,OUT017
FDP09,3677.67448965,OUT045
FDW21,1531.14800145,OUT049
FDY25,3017.73958825,OUT035
DRE13,1446.3694618,OUT017
FDV43,129.84813518,OUT019
FDD22,1685.79512134,OUT045
FDM46,238.614165095,OUT019
NCO30,480.591380244,OUT010
FDM25,2840.31636221,OUT046
NCN41,2021.45091923,OUT049
FDU24,1522.14914427,OUT045
FDZ50,3060.19150257,OUT046
FDP45,3995.61412045,OUT013
NCM54,2027.49101247,OUT045
FDW10,413.428417528,OUT019
FDP20,2032.54282264,OUT017
FDK32,2461.39834212,OUT046
FDN52,1463.80729512,OUT049
FDM58,1665.77895158,OUT045
FDZ46,2887.01074194,OUT027
NCA18,1930.7784646,OUT018
FDD35,2021.45091923,OUT046
NCK31,731.895279049,OUT035
FDI40,2819.2445332,OUT027
FDT50,242.974531806,OUT019
NCT06,2568.78694867,OUT046
FDT31,3060.19150257,OUT035
FDT45,901.953885716,OUT049
FDT13,3060.19150257,OUT045
FDO50,1495.28990749,OUT045
NCU18,274.90598019,OUT010
NCR54,3060.19150257,OUT049
NCO18,2875.17722738,OUT018
FDU09,919.38259471,OUT045
FDT13,3060.19150257,OUT018
FDE09,1690.39137449,OUT046
NCK53,253.386351445,OUT019
FDG45,3668.89215079,OUT049
DRH15,670.606162944,OUT035
FDO21,571.438110477,OUT019
FDD14,5050.77816746,OUT027
FDC09,1578.36134331,OUT046
FDH45,997.945582696,OUT027
FDV32,1115.98258561,OUT046
FDG12,1965.36670328,OUT035
FDS32,2047.92016795,OUT013
NCL55,3832.82025653,OUT018
DRE01,3877.12127101,OUT035
DRE15,1336.06811117,OUT049
NCL42,3884.54763011,OUT045
FDP31,1191.09067514,OUT013
FDN33,1522.14914427,OUT018
FDZ59,2568.78694867,OUT046
FDE45,425.035597631,OUT010
FDJ07,1953.95905419,OUT013
FDQ45,3060.19150257,OUT018
FDM33,5873.87296054,OUT027
FDO15,159.220815607,OUT010
FDM46,1538.29405286,OUT013
FDR03,3436.31459723,OUT045
FDY49,2671.82968924,OUT018
FDQ60,1953.95905419,OUT045
FDW10,2840.31636221,OUT049
FDO51,675.076173579,OUT049
FDJ40,1603.62040275,OUT018
FDS20,3049.90733788,OUT018
FDU45,1774.12211695,OUT013
FDV02,2735.37849197,OUT035
FDN09,3908.46095666,OUT046
NCM55,5050.77816746,OUT027
FDN23,2461.39834212,OUT018
FDY31,366.348459267,OUT010
FDW03,241.707767512,OUT010
FDD14,3060.19150257,OUT046
FDV23,2027.49101247,OUT017
DRI03,2840.31636221,OUT045
FDN13,1531.14800145,OUT035
FDF45,1277.06970852,OUT027
FDU46,1457.05348112,OUT035
FDB57,3757.81529457,OUT049
FDV12,1531.14800145,OUT049
FDQ58,2461.39834212,OUT013
NCA18,1926.27354503,OUT017
FDH52,994.69306398,OUT049
FDM24,2461.39834212,OUT018
NCP43,4780.70082466,OUT027
NCO18,424.045216499,OUT019
FDM32,1512.00885681,OUT017
NCL07,651.964668989,OUT017
FDK03,3991.54946128,OUT013
FDP59,1578.36134331,OUT017
FDQ24,3995.61681408,OUT049
FDQ16,1603.62040275,OUT018
FDU44,2528.17073104,OUT013
FDH28,129.84813518,OUT010
FDV28,129.84813518,OUT019
FDM22,913.376228945,OUT045
FDR56,3060.19150257,OUT046
FDV39,3069.04475818,OUT049
FDU37,178.222206369,OUT019
FDQ11,572.359935713,OUT010
FDX02,3756.39788225,OUT045
NCS42,1522.14914427,OUT018
FDY57,2790.95304999,OUT027
FDB21,3888.98628033,OUT049
FDE28,3833.47418302,OUT017
FDQ55,1902.92277459,OUT017
FDA48,3736.42638561,OUT049
FDZ19,2840.31636221,OUT045
NCC43,3992.20670822,OUT045
NCV18,1426.63353107,OUT046
NCA42,2528.17073104,OUT018
FDY45,4037.26237363,OUT046
NCC30,2944.94491286,OUT045
FDM57,1522.44768214,OUT013
FDL09,387.969520096,OUT010
FDB09,3007.38304769,OUT027
FDT44,1953.95905419,OUT035
NCT06,4262.71405786,OUT027
FDX26,3060.19150257,OUT049
FDK32,2476.5745777,OUT013
DRA12,2065.52290907,OUT046
FDO46,492.336763771,OUT010
FDE52,1525.18210063,OUT013
NCH42,3793.06048773,OUT045
FDV08,659.375291134,OUT035
FDB47,3494.74870246,OUT018
FDC28,256.952928072,OUT010
FDD22,1908.13417838,OUT046
FDS07,2900.48143042,OUT027
DRI13,3695.71280077,OUT045
FDG32,3557.56525758,OUT018
FDU14,4044.76610006,OUT017
FDD28,129.84813518,OUT019
NCP41,1603.62040275,OUT017
FDS08,2840.31636221,OUT049
FDX47,2523.08277097,OUT045
FDC53,252.057486237,OUT019
FDQ19,3920.20147618,OUT035
FDL14,2476.5745777,OUT045
FDM33,571.304348924,OUT019
FDA51,1902.92277459,OUT045
FDZ27,730.012576969,OUT018
FDT04,670.847749571,OUT046
DRC13,2027.49101247,OUT049
FDR16,5873.87296054,OUT027
FDQ03,5873.87296054,OUT027
FDE38,2699.13250153,OUT035
DRH23,1230.80451734,OUT027
FDT11,494.448261833,OUT019
FDD09,2972.74614773,OUT035
FDR40,1406.36774017,OUT045
FDX07,3060.19150257,OUT017
FDR07,1526.55715142,OUT035
FDA51,1912.87998414,OUT017
FDT59,571.99068363,OUT019
FDF20,3060.19150257,OUT017
FDR13,1926.27354503,OUT045
FDY26,3677.67448965,OUT049
FDW04,2043.50865416,OUT017
FDK52,3819.53465848,OUT017
FDN60,2515.89006354,OUT049
FDM09,403.883424365,OUT019
FDP46,1463.80729512,OUT049
FDB50,178.222206369,OUT019
NCQ29,4015.31510545,OUT049
FDP16,5873.87296054,OUT027
FDX33,2528.17073104,OUT018
FDP07,515.970066174,OUT010
FDN22,4007.01045304,OUT046
FDF39,4046.39539931,OUT049
FDS21,973.329116129,OUT017
NCM42,1583.13459122,OUT013
FDK50,381.183230788,OUT019
DRF13,4050.79267382,OUT027
FDH35,2568.78694867,OUT018
FDP60,1531.14800145,OUT018
DRJ49,3034.8657077,OUT027
NCT42,365.163243705,OUT019
FDE38,2682.67839539,OUT049
FDI04,3069.04475818,OUT049
NCH54,2523.08277097,OUT045
FDT56,944.306974643,OUT049
DRD15,3627.82150132,OUT018
FDV58,3060.19150257,OUT013
FDP21,3060.19150257,OUT049
FDH05,3788.25296014,OUT013
FDR10,4219.24983315,OUT027
NCP06,2461.39834212,OUT045
FDF33,1583.13459122,OUT049
DRK37,3060.19150257,OUT013
DRH49,1406.36774017,OUT045
FDT58,2682.67839539,OUT013
FDD41,1578.36134331,OUT018
FDP40,1656.4262261,OUT018
FDM51,2819.2445332,OUT027
FDO45,201.834506015,OUT010
FDW33,241.707767512,OUT010
FDY24,916.631631879,OUT045
FDB10,571.713478475,OUT010
FDM40,2053.24564496,OUT035
NCI06,3017.73958825,OUT017
FDW12,343.428654438,OUT019
FDX48,4097.53799222,OUT027
NCW05,2859.05713179,OUT027
FDX27,1526.55715142,OUT017
DRM37,3069.04475818,OUT045
FDA38,3893.79625302,OUT045
FDR36,668.816064415,OUT046
FDZ45,3082.96769551,OUT046
FDG05,2528.17073104,OUT017
FDK28,4035.30145395,OUT013
FDV47,1451.74888183,OUT045
FDN21,2528.17073104,OUT045
FDP20,3007.38304769,OUT027
FDI35,3035.67311892,OUT045
DRY23,704.232939838,OUT013
FDA56,2021.45091923,OUT017
FDB09,2021.45091923,OUT013
NCO26,2916.14390504,OUT027
FDQ49,2500.89568801,OUT018
FDI52,3007.38304769,OUT027
FDZ44,2916.14390504,OUT027
FDZ09,2568.78694867,OUT018
FDY03,1902.92277459,OUT049
NCG42,2043.50865416,OUT017
DRI13,5873.87296054,OUT027
FDQ32,2027.49101247,OUT013
FDW16,1495.28990749,OUT035
FDU27,741.708837116,OUT046
FDR28,382.838921746,OUT010
FDQ49,379.441857897,OUT010
FDS37,1926.27354503,OUT046
FDW26,3538.63609378,OUT018
FDX12,3729.59982864,OUT018
NCP06,2461.39834212,OUT013
FDW45,365.306535423,OUT010
NCN30,1526.55715142,OUT049
FDN24,901.953885716,OUT049
NCL41,992.417662629,OUT027
FDR02,263.4416303,OUT019
FDD09,438.366946963,OUT010
FDS33,201.834506015,OUT010
FDU22,2003.69956997,OUT045
FDI53,2550.27402874,OUT013
DRH01,2840.31636221,OUT049
FDX32,2080.1338277,OUT013
NCP30,655.460903899,OUT018
FDB60,3060.19150257,OUT045
FDB14,1522.14914427,OUT049
NCP02,919.38259471,OUT035
FDJ10,2047.92016795,OUT017
FDG34,1656.4262261,OUT046
NCB18,1463.80729512,OUT017
FDM16,1097.67965348,OUT049
FDW25,1417.88507451,OUT018
FDB35,225.238414657,OUT010
DRN11,2122.40591845,OUT013
FDF41,571.673601007,OUT019
FDH16,1465.57894504,OUT045
NCQ50,3510.81327293,OUT018
DRH23,934.871387861,OUT018
DRJ37,2461.39834212,OUT013
DRJ24,5050.77816746,OUT027
FDY16,3060.19150257,OUT035
FDQ27,1578.36134331,OUT045
FDZ33,2461.39834212,OUT045
FDF29,2043.50865416,OUT045
FDA08,2550.27402874,OUT049
FDG31,1112.49484757,OUT046
FDE34,467.818664195,OUT019
NCR30,1447.752179,OUT027
FDV33,4033.6804405,OUT035
DRZ24,2009.45161657,OUT018
NCL54,2840.31636221,OUT035
FDR12,2840.31636221,OUT049
NCC54,3862.71595916,OUT046
DRN59,770.793206626,OUT013
FDX50,263.4416303,OUT019
FDV31,4719.21396254,OUT027
NCA29,4410.74619138,OUT027
FDW60,2870.37938996,OUT049
FDX08,3055.63843563,OUT017
DRD49,3848.80327788,OUT013
FDD33,3814.01160914,OUT046
FDW35,704.232939838,OUT013
FDJ36,1578.36134331,OUT017
FDV51,2631.93742136,OUT035
FDW36,1583.13459122,OUT046
FDH35,2568.78694867,OUT046
NCS30,3034.8657077,OUT027
FDN49,653.755204418,OUT017
FDL08,3737.06918318,OUT018
FDI09,3884.7937465,OUT013
FDP19,2043.50865416,OUT018
FDU21,129.84813518,OUT010
NCP41,1583.13459122,OUT045
FDY10,1794.39332021,OUT013
FDP12,651.964668989,OUT018
NCN26,1926.27354503,OUT049
FDK44,2840.31636221,OUT013
FDC28,1603.62040275,OUT049
FDJ41,5873.87296054,OUT027
NCT29,2021.45091923,OUT035
NCH42,572.359935713,OUT019
FDU60,2682.67839539,OUT018
FDS02,3060.19150257,OUT045
FDC51,2021.45091923,OUT046
FDU03,3055.63843563,OUT013
FDX39,3677.67448965,OUT045
NCY05,129.84813518,OUT010
NCL06,5873.87296054,OUT027
FDD32,1346.94853563,OUT035
NCN41,2021.45091923,OUT045
NCX53,2053.24564496,OUT049
FDU57,367.104658887,OUT019
FDQ23,1578.36134331,OUT046
FDQ52,3985.31915685,OUT045
FDC14,662.199381606,OUT045
FDY09,2870.37938996,OUT035
FDQ28,2492.67918262,OUT045
FDV25,3761.84728695,OUT046
FDJ07,1926.27354503,OUT035
DRB25,1583.13459122,OUT049
FDK52,571.304348924,OUT019
FDY52,1373.11907519,OUT027
FDB28,3069.04475818,OUT046
FDT36,653.847371068,OUT035
FDV25,3795.87332881,OUT017
NCN07,3034.8657077,OUT027
FDC57,3060.19150257,OUT017
FDQ03,3701.2807764,OUT018
FDU23,2682.67839539,OUT017
NCX41,3672.69703171,OUT035
NCD06,731.895279049,OUT035
FDW08,1583.13459122,OUT045
NCU29,2461.39834212,OUT017
NCE06,2528.17073104,OUT013
FDV52,264.471948234,OUT010
FDB02,2870.37938996,OUT017
NCR18,664.231066761,OUT045
FDK16,1526.55715142,OUT049
NCQ29,570.751775771,OUT010
FDZ01,252.057486237,OUT019
FDW27,2510.61394921,OUT035
FDD17,3688.37181907,OUT018
FDW39,2870.37938996,OUT013
DRH59,1075.03666067,OUT045
FDS52,1573.90784056,OUT013
FDU40,5742.95201566,OUT027
NCF54,2840.31636221,OUT013
FDH46,1578.36134331,OUT045
NCP14,1578.36134331,OUT049
FDH50,3060.19150257,OUT049
DRF15,368.959495565,OUT010
FDV27,2545.77841288,OUT027
NCJ06,2009.45161657,OUT049
FDN02,3287.68161985,OUT018
FDQ51,735.705486927,OUT049
FDQ07,3759.81971621,OUT017
FDS45,1578.36134331,OUT049
NCJ06,2021.45091923,OUT045
FDD36,1930.7784646,OUT035
FDY25,3055.63843563,OUT045
FDU52,2476.5745777,OUT046
DRK47,3806.62570114,OUT017
NCL30,2032.54282264,OUT017
FDN22,4011.72438,OUT035
NCF30,3007.38304769,OUT027
FDK03,4016.22034521,OUT035
FDT45,919.38259471,OUT017
NCC54,5873.87296054,OUT027
FDP08,3060.19150257,OUT018
FDU44,2550.27402874,OUT046
DRG39,888.367950555,OUT035
FDU32,2021.45091923,OUT049
FDY27,2927.49400093,OUT049
NCP54,2021.45091923,OUT013
NCZ41,2027.49101247,OUT049
DRL49,2197.32315821,OUT013
FDI05,1298.4408063,OUT018
FDY56,3783.23237054,OUT045
DRC13,2027.49101247,OUT013
NCV29,2950.17973068,OUT017
FDR24,1487.34445505,OUT049
FDZ34,3060.19150257,OUT018
FDP37,2027.49101247,OUT035
FDX08,4780.70082466,OUT027
FDS57,2053.24564496,OUT045
NCG18,1578.36134331,OUT049
FDK25,2729.41639231,OUT018
FDH53,1360.34031616,OUT049
DRI59,3593.61887019,OUT018
FDA52,2870.37938996,OUT046
FDT20,129.84813518,OUT010
FDE36,381.939430408,OUT019
FDI24,2840.31636221,OUT017
FDB28,3079.17375494,OUT018
FDV11,2870.37938996,OUT017
FDP01,2476.5745777,OUT046
FDD34,4219.24983315,OUT027
FDJ50,1092.80494995,OUT027
FDZ44,1953.95905419,OUT013
DRO59,1183.50387221,OUT035
DRB48,662.199381606,OUT045
FDR21,2840.31636221,OUT018
NCE42,571.99068363,OUT010
FDO23,1522.14914427,OUT046
NCE30,3496.91857414,OUT018
FDQ22,653.847371068,OUT035
FDY01,1926.27354503,OUT045
FDS08,2875.17722738,OUT017
FDG28,3737.06918318,OUT018
FDQ51,730.012576969,OUT018
FDB05,4008.71248745,OUT017
FDO56,1930.7784646,OUT049
FDE02,1512.00885681,OUT018
FDN45,3765.42889645,OUT017
FDS09,775.094027383,OUT013
NCA54,3017.73958825,OUT018
FDP09,569.317208362,OUT010
FDC53,1531.14800145,OUT045
NCM55,3060.19150257,OUT017
FDL09,2735.37849197,OUT018
FDA11,238.614165095,OUT019
FDA50,1526.55715142,OUT045
FDC23,2944.94491286,OUT017
FDE22,2528.17073104,OUT049
FDD23,3060.19150257,OUT046
NCA29,2840.31636221,OUT049
FDK38,2461.39834212,OUT046
DRC13,2021.45091923,OUT046
NCP43,2944.94491286,OUT049
FDX28,1531.14800145,OUT049
FDF08,1487.34445505,OUT049
FDZ33,2461.39834212,OUT046
FDD10,2927.49400093,OUT049
FDO58,2540.57475586,OUT017
FDI50,3847.83649943,OUT017
FDO58,2568.78694867,OUT045
FDX08,3017.73958825,OUT013
NCK17,129.84813518,OUT010
FDF39,4072.80062246,OUT035
FDU45,260.207551927,OUT010
NCJ18,1936.95366462,OUT018
DRC27,572.912508866,OUT019
DRC25,1446.3694618,OUT035
